Molecule_Name,Cell_Length_A,Cell_Length_B,Cell_Length_C,Cell_Angle_Alpha,Cell_Angle_Beta,Cell_Angle_Gamma,Label,Fractional_X,Fractional_Y,Fractional_Z
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,C1,0.043180,0.064406,0.250001
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,C2,0.956818,0.934928,0.750000
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,C3,0.456820,0.564405,0.749999
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,C4,0.543182,0.434928,0.250000
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,H1,0.203697,0.036683,0.250001
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,H2,0.016827,0.294946,0.250001
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,H3,0.796302,0.962649,0.750000
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,H4,0.983173,0.704388,0.750000
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,H5,0.483173,0.794946,0.749998
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,H6,0.296303,0.536684,0.749999
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,H7,0.516828,0.204387,0.250001
ethylene,6.79002,4.70173,2.56389,90,90,89.99996,H8,0.703697,0.462649,0.250000
